robots cluster obsatcles

--- basic arena ----

20 1 0 ->
 77 258 297  544
161 194 257  274
 96 162 290 1081
 74 235 343  745
111 235 249  289

20 1 10 ->
160 329  504 1528
121 168  299  463
 87 162  164  644
300 309 1705 1931
169 205  764 1269

20 1 20 ->
134 156 347  416
 94 125 129  725
 94 134 530 1116
266 370 863 2771
233 242 449 1248

20 3 0 ->
587 1153 1891 3000
426  427  539 1334
507  966 2730 3000
559 1231 2706 3000
471  994 2568 3000

20 3 10 ->
3000 3000 3000 3000
 793  796 1855 3000
2851 3000 3000 3000  
3000 3000 3000 3000
1459 2111 3000 3000

20 3 20 ->
1463 3000 3000 3000
2312 3000 3000 3000
3000 3000 3000 3000
3000 3000 3000 3000
 996 1912 3000 3000

20 5 0 ->
3000 3000 3000 3000 
2960 3000 3000 3000
3000 3000 3000 3000
1980 2990 3000 3000
3000 3000 3000 3000

20 5 10 ->
2452 3000 3000 3000
3000 3000 3000 3000
1991 3000 3000 3000
3000 3000 3000 3000
3000 3000 3000 3000

20 5 20 ->
1789 3000 3000 3000
2995 3000 3000 3000
3000 3000 3000 3000
3000 3000 3000 3000
3000 3000 3000 3000

--

30 1 0 -> 
115 143 321 514
 79 228 337 965
 98 228 282 367
184 241 381 559
 79 372 414 1032  

30 1 10 ->
157 236 267 282
116 258 418 524
151 418 544 1249
234 267 548 2112
172 292 263 1128

30 1 20 ->
211 219 699 3000
269 623 994 1981
 90 453 468 3000
317 359 360 1576
145 186 322  485 

30 3 0 ->
419 1041 1856 3000
869 1165 2401 3000
664  665 2068 3000 
354  506  892 2435
180  184 1152 3000

30 3 10 ->
1025 1170 1543 2347
1449 1450 2981 3000
 520  733  852 3000
 566 1291 2294 3000
1048 1962 2784 3000 

30 3 20 ->
1461 1462 1554 2733
 347 2667 2990 3000
1016 1280 2947 3000
 644 1463 2801 3000
1222 1981 2433 2998  

30 5 0 ->
1210 3000 3000 3000
2068 3000 3000 3000
3000 3000 3000 3000
2599 2990 3000 3000
3000 3000 3000 3000
 
30 5 10 ->
 702 3000 3000 3000
3000 3000 3000 3000
3000 3000 3000 3000
1111 3000 3000 3000
3000 3000 3000 3000

30 5 20 ->
3000 3000 3000 3000
1281 3000 3000 3000
3000 3000 3000 3000
2344 3000 3000 3000
3000 3000 3000 3000

--
 
40 1 0 ->
175 177 332 371
 74 129 147 417
147 201 243 304
 74 199 226 862
 74 236 367 368 

40 1 10 ->
161 410 420  637
166 274 300 1022 
137 211 348  897
268 284 397  370
117 142 351  914

40 1 20 ->
213 263  357  566
297 544  850  858
137 188 1018 1514
120 345  346  970
307 580  647 2069  

40 3 0 ->
348 363 678 1127
304 440 503 576
377 491 641 1053
833 834 856 1917
260 358 970 2566

40 3 10 ->
 641 1163 1490 2184
1542 1633 2111 2213
 526 1646 2057 2058
 993 1044 1688 2453
1215 1375 2394 2401

40 3 20 ->
1082 3000 3000 3000
1213 2815 3000 3000
 868  882 3000 3000
1184 1434 2026 2712
1534 2004 2137 3000

40 5 0 ->
 950  954 3000 3000
 850 2350 2955 3000
3000 3000 3000 3000 
1451 2884 3000 3000
3000 3000 3000 3000  

40 5 10 ->
 999 1000 2411 3000
 806 1917 2721 3000
1001 2353 2655 2999
1516 1934 2623 3000
1911 2116 2674 3000

40 5 20 ->
2111 2454 3000 3000
2156 2311 2989 3000
2455 2787 3000 3000
2111 2454 3000 3000
3000 3000 3000 3000

---- Random landmarks ----

20 3 10 ->
231  886 2388 3000
396  640 3000 3000
112  975 2645 2871
454 1112 1921 2678
432 1001 2319 2992   

30 3 10 ->
 325  344 1481 1684
 101  863  907 3000
 494  653 3000 3000
 575 1166 3000 3000
1310 1667 1718 2486 

40 3 10 ->
524  800  815 1060
183  942 2445 2771
529  854 1926 2714
960 1278 2167 3000
102  672  719 3000 

---- 6x6 arena ----

40 3 0 ->
950 1267 2641 2695
515 1883 1994 3000
532 1250 3000 3000
389 1514 3000 3000
629 1994 2781 3000







































  
